id,rate
00777,73.29 
39169,73.26 
86043,73.20 
62201,73.00 
24816,72.97 
00754,72.88 
78547,72.85 
25846,72.83 
85634,72.80 
45225,72.77 
00677,72.74 
95721,72.72 
83312,72.50 
78582,72.36 
99671,72.27 
63878,72.22 
39771,72.22 
00703,72.16 
88411,72.13 
88253,72.12 
78548,72.07 
00662,71.92 
86512,71.89 
39097,71.86 
00729,71.78 
35464,71.61 
38639,71.23 
85530,71.18 
53205,70.90 
87315,70.83 
87825,70.68 
00705,70.63 
90813,70.62 
32335,70.58 
78592,70.54 
32970,70.14 
00627,70.13 
10474,70.12 
00674,70.10 
70524,70.03 
10454,70.01 
45713,70.00 
36581,70.00 
77463,69.69 
99666,69.66 
00962,69.64 
00692,69.60 
00741,69.57 
00688,69.54 
00773,69.52 
00637,69.46 
25211,69.44 
86039,69.39 
00784,69.36 
99640,69.33 
98134,69.32 
14605,69.28 
93702,69.18 
00610,69.16 
99602,69.09 
78562,69.08 
41365,69.06 
39156,69.02 
75210,68.96 
95514,68.85 
99923,68.83 
00693,68.76 
87364,68.70 
44104,68.70 
86033,68.67 
68946,68.62 
62059,68.60 
65603,68.58 
38740,68.48 
87311,68.36 
57748,68.30 
93256,68.27 
36610,68.20 
72053,68.20 
59255,68.15 
77412,68.12 
38609,68.11 
41833,68.06 
26376,67.97 
86538,67.88 
78557,67.85 
87581,67.77 
32183,67.71 
78570,67.67 
24817,67.60 
38952,67.54 
00952,67.50 
27821,67.37 
79839,67.36 
57642,67.36 
87327,67.25 
40334,67.24 
92254,67.23 
38722,67.23 
70787,67.18 
37915,67.16 
90017,67.15 
79320,67.14 
00965,67.13 
41267,67.03 
85633,67.01 
70113,66.99 
93239,66.94 
00728,66.91 
38726,66.73 
12784,66.66 
95984,66.66 
58775,66.49 
99555,66.43 
60653,66.40 
26615,66.36 
78046,66.31 
78576,66.27 
00736,66.13 
99662,66.12 
38105,66.11 
41612,66.11 
87461,66.08 
88072,65.98 
78829,65.96 
86044,65.87 
90059,65.78 
86545,65.74 
14203,65.73 
99779,65.71 
79838,65.69 
59521,65.68 
00923,65.59 
12307,65.57 
62204,65.47 
87722,65.43 
41568,65.39 
00917,65.38 
00901,65.38 
41560,65.27 
25936,65.27 
58370,65.25 
30464,65.25 
24861,65.21 
97752,65.16 
33877,65.12 
41760,65.11 
93261,65.05 
59411,65.00 
36786,64.97 
77333,64.95 
12207,64.94 
57772,64.91 
85034,64.71 
39633,64.64 
42332,64.59 
38721,64.50 
10456,64.49 
71021,64.47 
41729,64.44 
10459,64.43 
93646,64.40 
72359,64.28 
26298,64.28 
47836,64.19 
86035,64.06 
26690,64.01 
38631,64.00 
38769,63.97 
65048,63.91 
82510,63.88 
59058,63.88 
57356,63.87 
99788,63.82 
00612,63.76 
41250,63.76 
00683,63.72 
38760,63.66 
41203,63.65 
00739,63.63 
76469,63.63 
78543,63.58 
00652,63.55 
72036,63.46 
26210,63.44 
29840,63.40 
82218,63.37 
36776,63.35 
79845,63.35 
93219,63.33 
00771,63.29 
78877,63.27 
36603,63.15 
78537,63.04 
00745,62.86 
00924,62.80 
87724,62.79 
99569,62.71 
23523,62.68 
78538,62.60 
73104,62.54 
36501,62.53 
79785,62.50 
78202,62.47 
00680,62.47 
99626,62.27 
41360,62.23 
42157,62.17 
63955,62.10 
61605,62.08 
99656,62.06 
85007,61.95 
00623,61.90 
57027,61.90 
00791,61.89 
72339,61.88 
40202,61.85 
99773,61.81 
99781,61.80 
90002,61.74 
93627,61.74 
84026,61.65 
57623,61.64 
74836,61.58 
86036,61.53 
38962,61.53 
00716,61.51 
38774,61.48 
00717,61.46 
87325,61.39 
00690,61.38 
78516,61.38 
26152,61.36 
25902,61.35 
99589,61.33 
24601,61.32 
30336,61.30 
93706,61.29 
40874,61.28 
90003,61.27 
86505,61.18 
95202,61.18 
79326,61.11 
24463,61.11 
24846,61.11 
87930,61.05 
25915,61.02 
82514,61.00 
48607,61.00 
10457,60.93 
01107,60.82 
06120,60.79 
90021,60.70 
60621,60.68 
44308,60.65 
40203,60.64 
13834,60.60 
40376,60.56 
01105,60.48 
87313,60.47 
24873,60.47 
10452,60.47 
57555,60.43 
24815,60.33 
61731,60.28 
99321,60.26 
90013,60.25 
33136,60.20 
89834,60.18 
38746,60.02 
41397,60.00 
63847,60.00 
96769,59.94 
78401,59.94 
88436,59.88 
57661,59.86 
71345,59.85 
13202,59.84 
53206,59.78 
19121,59.76 
01608,59.76 
62963,59.75 
90011,59.69 
87052,59.61 
24879,59.58 
86508,59.57 
71368,59.42 
38762,59.38 
58316,59.25 
24962,59.18 
90037,59.13 
10453,59.12 
26338,59.09 
59448,59.07 
95585,59.04 
70442,59.01 
90001,58.97 
24131,58.94 
62993,58.92 
81334,58.86 
41367,58.86 
87037,58.84 
78008,58.84 
30664,58.82 
36031,58.82 
84766,58.82 
11211,58.80 
39635,58.76 
99770,58.74 
18628,58.70 
68071,58.65 
86053,58.63 
78012,58.61 
16256,58.59 
41257,58.59 
86020,58.57 
24895,58.51 
36773,58.49 
24872,58.49 
24828,58.45 
12787,58.45 
75215,58.43 
38745,58.40 
00778,58.37 
57625,58.37 
85349,58.31 
25651,58.29 
99778,58.28 
16155,58.19 
87316,58.17 
73551,58.13 
43203,58.08 
40819,58.06 
96011,58.04 
78040,58.01 
99733,58.00 
33476,57.92 
71101,57.86 
88132,57.84 
40983,57.83 
23504,57.80 
39179,57.80 
24892,57.78 
00971,57.76 
38725,57.75 
78572,57.73 
87420,57.72 
86034,57.72 
78560,57.70 
83436,57.69 
78839,57.64 
99554,57.58 
62953,57.57 
35559,57.57 
85333,57.56 
00909,57.55 
38957,57.55 
25534,57.50 
10455,57.49 
41260,57.43 
40914,57.43 
41650,57.42 
41135,57.41 
85247,57.39 
59022,57.33 
32681,57.31 
41667,57.31 
24811,57.31 
38754,57.30 
79853,57.29 
99622,57.29 
45203,57.22 
85336,57.20 
47467,57.14 
83215,57.14 
78830,57.09 
10460,56.96 
36754,56.96 
45214,56.94 
62090,56.90 
73487,56.88 
90044,56.88 
57752,56.86 
70523,56.85 
78208,56.79 
92410,56.71 
41385,56.71 
00925,56.71 
93650,56.64 
30901,56.54 
43604,56.54 
88126,56.52 
58538,56.49 
78355,56.49 
72331,56.48 
40815,56.46 
18230,56.41 
95832,56.39 
78407,56.38 
63107,56.38 
99563,56.37 
39146,56.36 
83808,56.32 
36481,56.31 
30447,56.25 
72367,56.21 
87323,56.20 
24813,56.17 
88063,56.14 
48201,56.12 
41364,56.10 
90015,56.07 
10035,56.06 
75759,56.00 
93305,55.96 
36775,55.95 
38630,55.95 
88340,55.95 
25913,55.93 
63750,55.91 
30079,55.91 
71261,55.89 
19134,55.87 
11206,55.87 
79231,55.84 
19140,55.84 
93201,55.84 
57457,55.78 
38036,55.76 
26278,55.75 
44510,55.75 
78521,55.75 
99621,55.72 
78960,55.71 
07108,55.66 
93640,55.65 
41314,55.62 
36832,55.62 
39095,55.58 
88021,55.57 
36751,55.55 
71202,55.55 
00646,55.54 
00622,55.46 
95431,55.43 
99751,55.38 
93660,55.37 
40903,55.36 
99552,55.29 
58532,55.29 
39739,55.27 
77367,55.24 
25169,55.23 
74943,55.20 
44506,55.18 
79905,55.14 
36047,55.10 
59225,55.10 
73022,55.10 
88262,55.07 
99628,55.07 
56641,55.06 
67072,55.03 
92113,55.03 
87940,55.02 
77026,55.02 
36767,55.02 
35477,54.96 
36482,54.95 
00738,54.92 
59213,54.89 
66603,54.88 
78827,54.88 
45688,54.82 
14608,54.79 
96770,54.76 
36722,54.76 
93234,54.74 
34762,54.73 
87937,54.73 
59444,54.72 
14604,54.70 
00725,54.69 
71375,54.67 
95250,54.66 
14213,54.66 
87516,54.66 
59827,54.63 
14201,54.62 
00953,54.58 
57257,54.56 
72333,54.54 
60624,54.54 
38946,54.46 
78872,54.44 
26282,54.43 
41778,54.43 
00912,54.40 
10039,54.40 
36768,54.29 
33147,54.27 
70789,54.25 
78589,54.17 
92411,54.15 
78566,54.14 
59050,54.14 
30315,54.11 
92274,54.06 
75212,54.05 
26586,54.03 
86054,54.03 
60609,53.99 
10030,53.98 
71250,53.96 
99580,53.96 
32206,53.94 
70729,53.94 
36769,53.91 
95546,53.91 
40863,53.89 
11212,53.88 
71839,53.87 
10458,53.86 
11237,53.85 
71048,53.84 
45746,53.82 
71661,53.76 
41845,53.76 
87310,53.74 
70736,53.69 
31814,53.63 
41640,53.57 
56356,53.57 
41563,53.57 
41262,53.56 
64847,53.56 
36425,53.45 
40840,53.41 
85006,53.39 
41735,53.36 
72711,53.33 
96123,53.33 
40828,53.26 
72114,53.25 
30822,53.23 
72342,53.22 
87569,53.21 
38720,53.19 
84512,53.14 
00957,53.12 
27568,53.06 
90033,52.98 
25692,52.96 
76704,52.96 
70753,52.95 
41534,52.94 
45838,52.94 
40997,52.91 
63460,52.91 
38643,52.88 
71002,52.88 
77003,52.88 
79239,52.87 
63120,52.85 
85256,52.77 
72384,52.76 
27844,52.75 
73108,52.72 
70651,52.71 
78520,52.67 
74946,52.63 
14726,52.61 
39054,52.60 
36435,52.57 
84536,52.55 
72457,52.52 
10451,52.49 
71254,52.46 
71326,52.45 
71103,52.42 
78596,52.41 
33127,52.40 
57562,52.38 
47123,52.38 
44103,52.38 
78593,52.37 
36053,52.34 
54670,52.32 
35203,52.31 
62207,52.30 
55411,52.29 
63850,52.27 
25671,52.24 
99643,52.20 
45408,52.13 
78577,52.12 
40843,52.06 
63851,52.04 
11233,52.02 
21672,51.96 
84063,51.94 
70117,51.92 
39038,51.91 
77624,51.91 
36790,51.90 
59089,51.90 
87416,51.89 
62915,51.85 
38645,51.83 
38963,51.82 
41862,51.81 
37765,51.81 
48505,51.77 
57759,51.77 
78852,51.67 
44127,51.67 
88421,51.61 
93241,51.58 
35470,51.58 
99748,51.57 
93615,51.55 
77376,51.53 
41254,51.53 
99636,51.52 
72004,51.52 
98932,51.47 
37715,51.47 
85926,51.42 
41604,51.38 
70076,51.37 
79240,51.35 
88048,51.35 
86502,51.35 
25266,51.31 
39743,51.29 
31720,51.29 
06608,51.27 
95543,51.27 
29810,51.24 
92368,51.20 
95972,51.19 
00949,51.15 
36925,51.12 
41836,51.09 
78405,51.06 
54861,51.05 
34142,51.02 
53212,51.02 
25666,50.99 
92059,50.97 
58757,50.92 
62962,50.90 
11207,50.89 
92408,50.87 
05833,50.86 
95559,50.86 
93648,50.83 
72394,50.77 
78019,50.76 
38748,50.74 
35207,50.74 
82434,50.69 
93203,50.67 
11221,50.67 
34950,50.64 
48216,50.62 
90006,50.62 
25501,50.61 
24853,50.59 
00921,50.57 
95365,50.57 
23607,50.57 
26581,50.54 
56671,50.51 
90061,50.50 
41712,50.49 
43201,50.48 
79835,50.48 
19132,50.48 
57657,50.46 
65243,50.44 
78076,50.43 
41815,50.42 
99768,50.42 
44507,50.38 
66105,50.38 
40935,50.38 
38773,50.38 
41663,50.36 
64126,50.35 
80448,50.34 
34947,50.31 
39736,50.30 
48208,50.30 
14212,50.27 
07103,50.21 
92105,50.21 
98350,50.20 
40170,50.17 
40759,50.13 
36513,50.13 
23963,50.11 
25669,50.11 
40845,50.09 
59417,50.06 
08105,50.03 
87820,50.00 
99681,50.00 
24845,50.00 
12749,50.00 
36113,50.00 
21522,50.00 
38475,50.00 
39745,50.00 
24843,50.00 
25028,50.00 
67334,50.00 
83874,50.00 
69142,50.00 
67012,50.00 
08104,49.97 
92401,49.96 
87026,49.88 
00956,49.81 
78586,49.79 
72462,49.72 
39203,49.69 
99650,49.68 
33430,49.67 
33128,49.66 
86504,49.65 
28452,49.65 
60472,49.65 
43778,49.57 
57547,49.57 
41642,49.55 
79719,49.54 
77078,49.53 
48213,49.49 
35036,49.48 
70805,49.47 
20032,49.44 
78391,49.42 
24862,49.40 
41132,49.38 
02909,49.29 
40940,49.28 
70820,49.26 
13204,49.24 
00985,49.23 
43909,49.23 
58329,49.22 
60637,49.15 
99040,49.12 
35462,49.12 
61077,49.09 
77051,49.08 
31701,49.07 
48203,49.04 
70125,48.98 
19122,48.96 
70802,48.95 
79405,48.94 
38737,48.92 
39144,48.89 
78539,48.88 
10468,48.84 
00735,48.83 
65764,48.80 
35218,48.77 
93247,48.76 
25160,48.73 
64106,48.73 
78526,48.72 
01840,48.72 
49075,48.71 
57067,48.70 
36032,48.69 
47011,48.68 
74106,48.67 
74720,48.67 
40972,48.66 
93621,48.66 
85322,48.65 
82335,48.64 
25855,48.64 
38107,48.64 
37213,48.59 
06702,48.58 
39159,48.56 
27601,48.56 
30312,48.55 
14204,48.54 
99754,48.52 
79755,48.52 
40868,48.52 
10472,48.52 
72341,48.51 
25703,48.50 
84762,48.48 
70114,48.48 
25524,48.48 
70761,48.47 
77028,48.46 
78043,48.46 
41124,48.42 
65773,48.41 
00660,48.40 
36040,48.39 
07102,48.39 
72515,48.38 
57755,48.38 
71245,48.36 
85339,48.34 
90057,48.32 
36703,48.29 
93623,48.27 
57775,48.27 
24011,48.27 
38778,48.25 
82219,48.21 
92266,48.17 
00775,48.17 
24880,48.14 
99585,48.09 
25113,48.08 
78207,48.07 
99604,48.06 
25696,48.05 
40953,48.04 
23219,48.01 
47916,48.00 
25871,48.00 
56741,48.00 
36912,47.98 
21205,47.94 
71079,47.93 
39045,47.93 
33605,47.91 
75203,47.91 
29923,47.91 
83203,47.89 
74761,47.87 
40803,47.85 
95205,47.83 
53208,47.82 
59016,47.81 
85621,47.80 
38622,47.79 
64125,47.77 
70715,47.76 
93249,47.75 
98587,47.74 
72373,47.74 
99513,47.74 
40855,47.74 
89427,47.72 
42635,47.72 
63837,47.72 
29590,47.71 
41721,47.70 
38676,47.65 
83435,47.64 
77020,47.64 
50460,47.63 
70356,47.62 
26366,47.61 
25837,47.61 
35212,47.60 
99678,47.59 
68111,47.55 
43222,47.53 
31401,47.52 
92283,47.50 
36075,47.48 
95686,47.46 
36108,47.45 
57330,47.44 
02907,47.43 
88056,47.39 
41746,47.38 
80729,47.35 
93307,47.32 
38761,47.32 
38614,47.30 
58568,47.27 
25134,47.27 
41773,47.27 
26325,47.27 
99152,47.26 
26271,47.26 
70039,47.25 
51011,47.22 
76105,47.21 
74722,47.21 
14611,47.18 
99578,47.16 
43205,47.15 
32805,47.15 
72427,47.14 
33916,47.13 
26208,47.11 
38621,47.10 
53204,47.10 
93703,47.09 
63830,47.05 
59315,47.05 
71282,47.03 
99137,47.00 
81126,47.00 
95552,46.99 
41607,46.98 
32332,46.95 
87022,46.94 
38924,46.92 
90222,46.91 
36317,46.91 
36048,46.84 
59055,46.83 
37402,46.80 
79718,46.79 
70050,46.76 
38106,46.73 
36726,46.72 
81148,46.72 
08608,46.72 
33130,46.70 
71334,46.69 
67863,46.61 
16503,46.61 
39069,46.59 
36470,46.56 
62874,46.55 
41840,46.54 
36723,46.52 
35460,46.51 
66612,46.49 
39086,46.48 
15110,46.47 
35443,46.46 
00983,46.44 
93267,46.43 
24981,46.43 
96031,46.42 
99553,46.40 
78583,46.38 
49007,46.37 
59332,46.37 
70086,46.35 
25517,46.35 
44702,46.35 
49792,46.34 
70812,46.33 
48211,46.30 
90221,46.25 
78203,46.23 
84606,46.22 
79927,46.22 
71358,46.20 
98952,46.20 
38771,46.19 
78580,46.18 
35442,46.16 
21217,46.15 
89425,46.15 
14211,46.14 
25111,46.12 
84714,46.12 
90023,46.12 
40810,46.10 
48215,46.10 
74456,46.09 
99927,46.08 
10029,46.08 
40930,46.03 
92102,46.00 
70456,46.00 
93647,45.98 
90304,45.98 
33150,45.97 
27570,45.97 
81043,45.94 
98813,45.93 
59831,45.92 
77012,45.86 
93223,45.84 
25115,45.83 
32641,45.81 
73117,45.81 
29945,45.80 
25864,45.80 
40460,45.78 
29403,45.78 
97842,45.76 
33034,45.75 
42371,45.74 
79540,45.71 
71353,45.66 
42649,45.66 
29481,45.65 
72390,45.61 
70554,45.59 
19550,45.59 
78834,45.58 
39166,45.56 
99575,45.55 
26731,45.54 
84052,45.53 
98357,45.50 
48205,45.49 
20020,45.49 
40962,45.48 
63118,45.48 
08102,45.47 
74949,45.45 
11219,45.44 
21223,45.44 
33142,45.42 
87577,45.41 
71676,45.41 
48210,45.41 
60623,45.39 
93270,45.36 
71325,45.34 
40873,45.27 
10026,45.26 
90031,45.25 
70586,45.25 
57737,45.23 
36759,45.23 
51101,45.22 
43940,45.21 
99746,45.21 
40210,45.21 
86045,45.20 
14621,45.16 
32304,45.16 
25557,45.15 
92236,45.15 
01103,45.14 
16244,45.13 
87375,45.11 
00987,45.11 
12202,45.11 
93235,45.10 
67741,45.10 
60612,45.09 
59919,45.08 
66101,45.04 
41723,45.03 
79780,45.00 
40387,44.99 
41825,44.94 
93641,44.92 
41812,44.92 
31067,44.91 
95676,44.91 
76678,44.91 
32343,44.90 
65461,44.87 
57474,44.84 
31903,44.84 
86434,44.83 
90007,44.82 
16236,44.81 
38108,44.79 
90005,44.78 
58439,44.77 
24868,44.77 
39209,44.77 
41231,44.77 
25985,44.76 
71219,44.76 
76706,44.74 
63112,44.73 
39643,44.70 
41274,44.68 
95824,44.68 
64738,44.67 
25044,44.66 
46407,44.66 
98948,44.65 
60636,44.65 
29104,44.61 
57585,44.57 
46402,44.56 
11205,44.53 
71366,44.52 
54150,44.52 
38930,44.51 
39113,44.49 
28368,44.48 
48209,44.45 
24894,44.44 
26217,44.44 
53817,44.44 
63743,44.44 
11430,44.44 
51341,44.44 
59081,44.44 
98590,44.44 
85607,44.44 
54135,44.44 
39063,44.43 
63543,44.40 
41465,44.39 
11208,44.37 
00976,44.37 
76104,44.35 
71109,44.34 
99753,44.32 
19123,44.31 
41564,44.30 
39088,44.30 
42722,44.28 
40824,44.27 
43610,44.26 
41631,44.23 
07501,44.23 
95815,44.18 
40913,44.18 
78161,44.18 
21867,44.14 
70116,44.13 
44307,44.12 
38626,44.10 
98944,44.07 
99561,44.05 
41740,44.04 
24808,44.03 
92230,44.02 
78242,44.01 
70570,44.01 
58737,44.00 
93286,43.97 
30477,43.97 
56566,43.95 
70130,43.94 
72360,43.94 
25608,43.93 
40211,43.90 
40995,43.89 
92405,43.89 
02746,43.87 
28367,43.85 
41834,43.85 
08103,43.84 
37228,43.83 
76955,43.83 
10031,43.83 
67214,43.83 
41301,43.81 
38132,43.80 
25617,43.76 
92389,43.75 
62964,43.75 
62523,43.73 
36083,43.71 
96751,43.71 
39360,43.68 
97761,43.66 
77048,43.65 
99637,43.65 
41635,43.63 
41835,43.62 
87034,43.61 
29556,43.57 
70757,43.56 
03101,43.55 
88022,43.54 
85714,43.54 
25043,43.52 
57052,43.52 
99742,43.52 
87040,43.50 
93250,43.48 
33602,43.48 
15443,43.47 
99776,43.47 
36538,43.47 
79343,43.45 
19602,43.44 
40921,43.42 
92258,43.34 
65746,43.34 
78011,43.33 
87007,43.31 
25030,43.29 
76445,43.28 
41602,43.25 
64432,43.24 
99136,43.24 
85009,43.22 
35234,43.21 
85542,43.20 
79904,43.20 
40906,43.19 
21201,43.18 
74126,43.18 
59524,43.18 
87062,43.14 
35459,43.12 
33170,43.12 
76363,43.10 
71378,43.09 
40734,43.08 
77369,43.07 
59053,43.05 
25054,43.04 
44108,43.04 
31415,43.03 
74440,43.03 
40827,43.02 
77840,43.01 
38954,43.01 
59824,43.00 
68975,42.98 
25511,42.98 
80476,42.98 
71630,42.97 
35034,42.96 
41647,42.95 
79261,42.94 
41615,42.93 
31201,42.91 
64127,42.91 
72201,42.91 
96134,42.90 
40977,42.88 
82052,42.85 
79380,42.85 
38670,42.82 
93673,42.82 
38114,42.80 
39150,42.78 
71826,42.77 
48206,42.76 
62914,42.74 
90014,42.73 
85923,42.70 
41214,42.70 
89426,42.70 
57551,42.69 
38921,42.65 
78880,42.64 
41425,42.64 
63567,42.64 
53715,42.61 
68760,42.60 
41263,42.59 
77837,42.58 
41421,42.57 
93725,42.57 
55454,42.56 
40915,42.55 
59456,42.55 
77081,42.55 
37406,42.54 
41666,42.53 
99769,42.50 
38964,42.50 
57380,42.49 
39366,42.49 
76707,42.49 
64681,42.45 
42742,42.44 
32608,42.42 
16672,42.42 
40488,42.42 
81027,42.42 
24823,42.42 
24282,42.40 
32601,42.40 
48601,42.40 
24844,42.39 
42634,42.38 
28442,42.38 
77033,42.38 
40823,42.37 
74747,42.37 
93218,42.37 
85004,42.34 
77703,42.33 
22969,42.32 
41141,42.30 
76490,42.30 
43620,42.28 
98827,42.26 
50671,42.26 
25667,42.25 
61037,42.25 
24539,42.24 
74068,42.24 
78375,42.24 
41149,42.23 
60644,42.22 
63439,42.22 
19142,42.22 
33311,42.22 
65444,42.21 
93728,42.21 
71640,42.20 
79748,42.19 
81059,42.15 
46803,42.15 
38642,42.13 
40771,42.13 
99750,42.12 
49831,42.10 
40902,42.08 
60827,42.06 
36919,42.04 
43905,42.04 
96065,42.02 
15448,42.01 
99745,42.00 
26448,41.99 
41776,41.99 
33598,41.98 
39630,41.97 
72389,41.97 
82224,41.93 
93206,41.92 
57579,41.92 
76690,41.90 
93215,41.90 
71631,41.89 
43948,41.88 
02120,41.88 
78559,41.88 
77801,41.87 
95351,41.86 
39341,41.86 
72366,41.85 
38623,41.84 
31601,41.83 
89421,41.83 
72069,41.81 
79401,41.80 
40209,41.79 
93606,41.79 
64863,41.78 
25857,41.78 
79346,41.78 
19139,41.77 
95605,41.76 
95545,41.75 
24839,41.75 
23308,41.74 
78594,41.73 
85320,41.72 
70049,41.71 
37208,41.70 
41839,41.67 
33030,41.67 
24620,41.67 
95646,41.66 
57644,41.66 
58428,41.66 
32463,41.66 
83824,41.62 
59453,41.62 
95817,41.61 
78211,41.61 
31714,41.60 
99013,41.60 
59544,41.60 
95568,41.60 
25512,41.59 
90029,41.59 
77011,41.58 
77022,41.58 
58423,41.55 
25674,41.54 
06519,41.54 
24849,41.52 
37819,41.51 
71411,41.51 
99607,41.49 
68711,41.48 
95838,41.47 
70441,41.46 
44311,41.45 
70353,41.44 
79730,41.42 
99155,41.42 
36728,41.42 
40212,41.42 
71414,41.42 
36732,41.41 
38941,41.41 
18503,41.39 
78408,41.38 
35233,41.37 
41255,41.37 
16246,41.36 
25114,41.33 
59003,41.32 
36071,41.31 
94621,41.30 
90038,41.28 
36860,41.28 
58734,41.27 
63563,41.26 
77021,41.25 
39631,41.24 
99680,41.24 
36756,41.22 
29434,41.22 
26203,41.21 
87321,41.20 
41745,41.20 
90806,41.20 
99140,41.19 
24218,41.17 
59526,41.16 
85357,41.15 
30830,41.15 
88045,41.14 
40923,41.13 
41553,41.13 
71601,41.11 
71029,41.11 
25019,41.08 
25637,41.06 
88030,41.05 
84739,41.05 
24239,41.05 
24281,41.05 
35211,41.01 
31649,41.00 
71016,41.00 
93263,40.99 
41339,40.96 
72353,40.96 
92173,40.96 
45741,40.96 
25521,40.95 
98326,40.94 
26430,40.94 
45229,40.93 
40486,40.93 
63880,40.90 
43914,40.90 
35060,40.90 
79519,40.90 
84733,40.90 
79902,40.90 
95417,40.90 
41843,40.89 
39474,40.89 
15310,40.88 
93954,40.88 
87001,40.88 
90063,40.86 
18827,40.86 
90804,40.85 
40830,40.85 
98628,40.84 
41847,40.83 
44707,40.82 
10032,40.82 
90018,40.81 
25060,40.80 
48933,40.80 
25301,40.80 
92404,40.79 
85605,40.79 
98938,40.77 
59012,40.74 
15444,40.74 
75223,40.71 
36104,40.70 
33032,40.69 
58440,40.67 
73129,40.67 
72348,40.67 
88336,40.67 
40826,40.65 
15104,40.63 
80727,40.61 
39669,40.61 
99820,40.60 
25836,40.60 
44113,40.58 
39194,40.57 
41226,40.57 
30425,40.55 
73559,40.54 
47558,40.54 
57436,40.52 
32209,40.52 
31901,40.51 
75451,40.50 
58311,40.49 
63943,40.49 
78205,40.48 
47381,40.47 
84753,40.47 
84101,40.47 
71369,40.47 
63113,40.46 
